name,prompt,negative_prompt
>>>幻想场景,,
乡村农田 Rural Farmland,"rural farmland style {prompt}. Vast fields of crops such as wheat, corn, or rice, well - maintained farmhouses, dirt paths winding through the fields, and farmers working with traditional farming tools. Barns and silos are present, and there may be livestock grazing nearby. The overall atmosphere is one of rural tranquility and agricultural productivity","Urban landscape, lack of farm - related elements like crops and barns, no signs of agricultural activities"
自然森林 Natural Forest,"natural forest style {prompt}. Dense growth of various trees, with sunlight filtering through the foliage, creating dappled light on the forest floor. There are undergrowth plants, fallen logs covered in moss, and small forest animals like squirrels and birds. A gentle stream may meander through the forest, adding to the natural soundscape","Built - up areas, absence of trees and natural vegetation, no signs of forest - dwelling wildlife"
繁华都市 Bustling City,"bustling city style {prompt}. Tall skyscrapers with glass facades, busy streets filled with cars, buses, and people walking on sidewalks. Neon signs light up the cityscape at night, and there are numerous shops, cafes, and restaurants. Subways and elevated trains add to the urban transportation network","Quiet, rural - like environment, few or no tall buildings, lack of urban - specific infrastructure"
古老城堡 Ancient Castle,"ancient castle style {prompt}. A large, imposing stone castle with turrets, battlements, and a drawbridge. The castle walls show signs of age, with ivy growing on them. Inside the castle grounds, there are cobblestone paths, a central courtyard, and old - fashioned gardens. The overall look is one of medieval grandeur and historical significance","Modern - style buildings, absence of castle - like structures and medieval - era features"
海滨沙滩 Seaside Beach,"seaside beach style {prompt}. Soft, golden sand stretching along the shore, clear blue ocean water with gentle waves rolling in. Beach umbrellas and lounge chairs are scattered around, and people are swimming, sunbathing, or playing beach volleyball. Palm trees line the beach, providing shade, and there are small boats anchored offshore","Inland location, no sand or ocean, lack of beach - related activities and scenery"
山间峡谷 Mountain Valley,"mountain valley style {prompt}. Steep mountain slopes on either side of a valley, with a river flowing through the middle. The valley floor is covered in grass and wildflowers, and there may be small waterfalls cascading down the mountainsides. Hiking trails wind through the valley, and there are views of snow - capped mountain peaks in the distance","Flat terrain, absence of mountains and valleys, no flowing rivers or waterfalls"
神秘洞穴 Mysterious Cave,"mysterious cave style {prompt}. Dark, damp cave interiors with stalactites hanging from the ceiling and stalagmites rising from the ground. The walls are uneven and may have mineral deposits. Dim, natural light filters in from the entrance, and there may be small pools of water on the cave floor. The atmosphere is one of mystery and exploration","Bright, open spaces, lack of cave - specific geological formations, no sense of mystery"
未来都市 Future City,"future city style {prompt}. Futuristic, sleek buildings with advanced architecture, flying cars zipping through the air, and large, glowing holographic billboards. The city is powered by clean energy, with solar panels and wind turbines visible. There are floating walkways and advanced transportation hubs, giving a sense of high - tech innovation","Traditional - style buildings, absence of flying vehicles and high - tech features, no signs of advanced energy systems"
童话小镇 Fairy - tale Town,"fairy - tale town style {prompt}. Colorful, small houses with thatched roofs, cobblestone streets, and flower - filled gardens. There is a central town square with a fountain, and small shops selling handicrafts and sweets. A small, stone bridge crosses a stream running through the town, creating a charming and idyllic setting","Plain, modern - looking town, lack of colorful and charming elements, no fairytale - like architecture"
废弃工厂 Abandoned Factory,"abandoned factory style {prompt}. A large, derelict factory building with broken windows, rusted metal structures, and overgrown weeds. Inside, there are old machinery and conveyor belts, covered in dust and cobwebs. Graffiti adorns the walls, and the overall atmosphere is one of desolation and decay","Active, well - maintained factory, absence of signs of abandonment like broken windows and rust"
宁静渔村 Peaceful Fishing Village,"peaceful fishing village style {prompt}. A cluster of small, weather - beaten houses near the water. Fishing boats of various sizes are docked in the harbor, some with nets drying on their decks. There are fishing nets strung along the shore, and seagulls circle overhead. The smell of saltwater and the sound of lapping waves fill the air.","Urban - like environment, lack of fishing - related infrastructure, no visible fishing boats or nets"
