name,prompt,negative_prompt
>>> 建筑名称,,
高层住宅,"(high-rise modern residential buildings:1.2), sleek urban architecture, expansive glass windows, spacious balconies, contemporary facade, clean lines, minimalist design, integrated greenery, well-lit interiors, luxurious living spaces",
生态住宅,"(eco-friendly residential buildings:1.2), sustainable architecture, green rooftops, vertical gardens, natural materials, energy-efficient design, integrated solar panels, abundant natural light, harmonious with nature, low carbon footprint, serene living environment, lush landscaping",
现代别墅,"(modern villa exteriors:1.2), sleek and minimalist design, large glass windows, lush landscaped gardens, elegant pathways, outdoor terraces, harmonious integration with nature, clean lines, contemporary aesthetics, natural stone elements, well-manicured lawns, seamless indoor-outdoor transition, tranquil ambiance",
中式别墅,"(Chinese-style villa exterior:1.2), traditional architectural elements, elegant courtyards, intricately carved wooden details, harmonious blend of nature and structure, serene garden spaces, ornamental stone pathways, classic rooflines with gentle curves, delicate lattice windows, refined natural materials, cultural richness, peaceful ambiance, balanced proportions, timeless elegance",
摩天楼,"(skyscraper landscape:1.2), towering structures, modern skyline, sleek glass facades, impressive height, vertical lines, expansive views, urban majesty, reflective surfaces, sharp architectural lines",
高层办公,"(high-rise office buildings:1.2), sleek glass facades, modern architectural lines, expansive windows, polished steel accents, professional and corporate ambiance, meticulously landscaped surroundings, elegant entryways, reflective surfaces, structured urban landscape, clear skyline, sophisticated exterior lighting, well-maintained greenery, clean and sharp design",
办公园区,"(office park features:1.2), modern corporate environment, sleek office buildings, lush green landscaping, manicured gardens, open courtyards, reflective glass facades, well-maintained pathways, outdoor seating areas, contemporary architecture, spacious plazas, tree-lined avenues, water features, clean and organized spaces, natural light integration, professional atmosphere, energy-efficient design, sustainable landscaping",
商业综合体,"(commercial complex landscape:1.2), modern retail architecture, expansive glass facades, vibrant urban setting, dynamic public spaces, sleek design, multiple levels, bustling atmosphere, open plazas, integrated greenery, contemporary style",
步行街,"(commercial pedestrian street:1.2), vibrant shopping district, lively urban atmosphere, wide pedestrian pathways, outdoor seating areas, bustling crowds, contemporary street furniture, integrated greenery, colorful storefronts, dynamic lighting, open public spaces, seamless flow",
度假酒店,"(luxury resort hotel:1.2), lush tropical landscaping, elegant architectural design, expansive terraces, panoramic ocean views, inviting outdoor pools, serene garden paths, ambient lighting, luxurious and relaxing atmosphere, carefully manicured lawns, natural materials blend with modern aesthetics, spacious outdoor lounge areas, peaceful surroundings, clear blue skies, high-end exterior finishes",
山中民宿,"(mountain retreat hotel:1.2), serene mountain setting, rustic charm with modern amenities, natural wood and stone elements, expansive forest views, cozy outdoor seating areas, intimate connection with nature, misty morning ambiance, tranquil surroundings, lush greenery, harmonious blend with the landscape, peaceful atmosphere, inviting pathways, earthy tones, natural materials, large panoramic windows",
公共建筑,"(public building exterior:1.2), grand architectural presence, expansive open spaces, modern yet timeless design, large glass facades, elegant stonework, beautifully landscaped surroundings, inviting public spaces, harmonious integration with the environment, serene atmosphere, well-maintained greenery, symmetrical layout, clean lines, carefully crafted details, welcoming entrance areas",
工业建筑,"(industrial building exterior:1.2), robust architectural presence, functional design, large steel structures, expansive windows, sturdy concrete elements, clean industrial aesthetics, wide open spaces, efficient layout, well-organized surroundings, minimalistic landscaping, practical and durable materials, strong geometric lines, clear sightlines, efficient use of space, modern industrial charm",
>>> 结构特征,,
曲线,"curvilinear architecture, flowing lines, smooth curves, dynamic shapes, organic forms, fluid design, elegant arcs, seamless contours, aerodynamic aesthetics, graceful sweeps, wave-like structures, harmonious flow, sculptural elements, intricate curvature, soft transitions, high resolution, ultra-high quality, detailed textures, hyper-realistic, true-to-life depiction",
曲面,"(curved architecture:1.2), fluid and graceful lines, sweeping curves, smooth and organic forms, modern and innovative design, dynamic and flowing shapes, seamless transitions, elegant curvature, sophisticated and stylish curves, harmonious integration with surroundings, soft and continuous surfaces, sculptural quality",
直线,"(straight architectural lines:1.3), precise verticals, sharp edges, clean lines, rigid structure, well-defined contours, crisp intersections, angular forms, high structural integrity, geometric precision, linear composition, seamless joins, sharp detail, flawless alignment, exacting geometry, ultra-high quality, high resolution, hyper-realistic, true-to-life depiction, professional rendering","bent lines, curved edges, fuzzy layers, irregular shapes"
仿生,"(biomorphic design:1.2), organic shapes, fluid and natural forms, intricate biomimicry, smooth and flowing lines, harmonious integration with nature, modern and innovative biomorphic patterns, natural and organic curvature, dynamic and visually striking biomorphic forms, seamless and flowing transitions, soft and well-defined edges, nature-inspired geometry",
坡屋顶,"(sloped roof design:1.2), elegant rooflines, gently sloping angles, precise roof detailing, high-quality roofing materials, clean roof edges, seamless integration with overall design, refined roof texture, balanced proportions, contemporary roof aesthetics, durable roofing structure, weather-resistant materials, subtle roof overhangs, crisply defined ridgelines, modern sloped roof, visually striking silhouette",
三角形,"(triangular forms:1.2), sharp angles, geometric precision, sleek and modern triangular shapes, clean lines, dynamic triangular composition, symmetrical and balanced triangles, bold and striking triangular elements, innovative use of triangular geometry, crisp edges, seamless integration of triangular patterns, harmonious triangular arrangements, angular and pointed design",
四角形,"(rectangular forms:1.2), crisp edges, geometric clarity, sleek and modern rectangular shapes, clean lines, dynamic quadrilateral composition, symmetrical and balanced rectangles, bold and striking rectangular elements, innovative use of quadrilateral geometry, sharp and well-defined corners, seamless integration of rectangular patterns, harmonious quadrilateral arrangements, angular and precise design",
蜂巢形,"(honeycomb pattern:1.2), geometric precision, intricate hexagonal shapes, interconnected hexagons, modern and organic honeycomb design, clean and seamless honeycomb structure, symmetrical and balanced hexagons, innovative use of hexagonal geometry, repeating honeycomb motif, crisp and well-defined edges, dynamic and visually striking honeycomb arrangement, natural and flowing hexagonal forms",
几何形,"(geometric shapes:1.2), precise angles, clean lines, modern and abstract geometry, intricate polygonal forms, sharp and well-defined edges, symmetrical and balanced geometric patterns, innovative use of geometric designs, dynamic and visually striking geometry, harmonious arrangement of shapes, angular and structured forms, crisp and clear geometric motifs",
线稿,"(line art drawings:1.3), hand-drawn sketch, intricate line work, precise contours, detailed shading, artistic expression, rough textures, dynamic composition, pen and ink style, monochromatic scheme, cross-hatching, stippling, conceptual drawing, fluid lines, bold outlines, expressive strokes, creative process, unfinished look, rough edges, sketchbook style, clean lines, black and white illustration, high resolution, highly detailed, beautiful craftsmanship, imaginative design",
鸟瞰,"aerial view, expansive cityscape, intricate urban layout, detailed street patterns, lush green spaces, winding roads, flowing rivers, vibrant rooftops, panoramic vistas, bustling activity, dynamic skyline, clear boundaries, intersecting pathways, symmetrical design, urban planning, bird's-eye perspective, high resolution, vivid colors, atmospheric depth, comprehensive overview, ultra-high quality, highly detailed, photographic masterpiece, hyper-realistic, true-to-life representation",
>>> 墙体材质,,
玻璃立面,"(glass and steel facade:1.2), transparent glass panels, sleek steel framework, reflective surfaces, clean lines, modern aesthetic, high transparency, seamless integration, crisp details, light interplay, smooth textures, ultra-clear glass, structural elegance, light and shadow contrast, minimalistic design, high resolution, ultra-high quality, hyper-realistic, true-to-life depiction",
玻璃反射,"(glass reflections:1.2), clear reflections, mirrored surfaces, crisp details, shimmering glass, light reflections, dynamic lighting, transparent elements, reflective surfaces, intricate reflections, high transparency, vivid clarity, glossy finish, smooth glass, realistic reflections, subtle distortions, reflective textures, play of light, optical effects, clean lines, pristine appearance",
内透灯光,"(interior lighting through glass:1.2), illuminated interiors, warm glow, clear glass, light streaming out, soft ambient lighting, transparent windows, interior light reflections, cozy illumination, detailed lighting effects, visible light sources, night-time ambiance, diffused light, inviting warmth, translucent surfaces, high clarity, bright interior lights, soft shadows, radiant glow",
内透室内,"(clear view into interior:1.2), transparent glass windows, softly illuminated interiors, detailed and well-lit indoor spaces, visible furniture arrangements, modern and elegant interior design, warm and inviting lighting, reflections on glass surfaces, seamless blend of interior and exterior, high visibility through windows, subtle glow from indoor lights, sharp and clear indoor details, true-to-life interior atmosphere, ambient light spilling through glass",
纯白色墙面,"(pure white wall:1.2), pristine and flawless surface, smooth and clean texture, uniform and bright white color, minimalistic and modern aesthetic, soft and diffused lighting, high resolution, ultra-high quality, hyper-realistic, true-to-life depiction, professional rendering, seamless finish, elegant simplicity, subtle shadows, crisp and clear lines, refined and polished appearance","yellowing, stains, cracks, uneven texture, rough surface, poorly lit, shadows obscuring details, cluttered background"
木栅格与百叶,"(wooden louvered elements:1.2), warm wood tones, finely crafted wooden slats, natural wood textures, sleek wooden grids, precision-crafted louvers, seamless integration of wood and modern materials, subtle wooden accents, high-quality wood finishes, rich wooden grain, contemporary design with natural elements, sustainable wood materials, refined aesthetic, balanced combination of wood and light, crisp lines, meticulous craftsmanship",
混凝土材质,"(concrete material:1.2), raw concrete texture, smooth concrete finish, exposed concrete surfaces, industrial concrete aesthetic, clean lines, robust materiality, modern brutalist design, cool grey tones, precision-cast concrete, weather-resistant surfaces, seamless concrete panels, minimalist concrete forms, strong structural elements, refined concrete detailing",
红砖,"(red brick material:1.2), rich brick texture, warm earthy tones, exposed brick surfaces, traditional brickwork aesthetic, clean mortar lines, durable materiality, rustic charm, warm red hues, handcrafted brick detailing, weather-resistant brick, seamless brick patterns, strong structural integrity, timeless material, refined brick surfaces",
灰砖,"(grey brick material:1.2), refined brick texture, cool grey tones, exposed brick surfaces, modern brickwork aesthetic, clean mortar lines, durable materiality, contemporary charm, neutral grey hues, handcrafted brick detailing, weather-resistant brick, seamless brick patterns, strong structural integrity, timeless material, elegant brick surfaces",
石材墙面,"(marble wall:1.2), meticulously crafted stonework, polished and smooth surface, elegant and luxurious texture, symmetrical and orderly stone arrangement, high-quality marble finish, refined and uniform patterns, seamless joints, clean and precise lines, rich and natural veining, durable and sophisticated appearance, premium materials","uneven or rough stone surface, chipped or cracked edges, inconsistent or irregular patterns, poorly aligned stones, dull or faded appearance, visible seams, unrefined or coarse texture, low-quality materials, lack of symmetry, disorganized or chaotic arrangement"
自然石头墙面,"(natural stone wall:1.2), rugged and organic texture, irregularly shaped stones, carefully stacked and balanced, earthy and weathered appearance, authentic and timeless look, seamless integration with the environment, rich and natural color variations, rough-hewn surfaces, hand-crafted stone arrangement, sturdy and enduring structure, high resolution, ultra-high quality, hyper-realistic, true-to-life depiction, professional rendering","smooth or polished surfaces, artificial or synthetic look, poorly aligned stones, uniform or repetitive patterns, lack of texture, dull or lifeless appearance, visible seams, low-quality materials, disorganized or chaotic stacking"
